,SUBSTÂNCIA
830,POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 9N;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 17F;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 14 ;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 19A ;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 15B;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 8;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 11A;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 5;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 10A;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 4 ;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 6B;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 1;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 12F;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 2;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 22F;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 33F;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 23F ;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 7F ;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 18C ;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 19F ;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 9V;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 20
831,PARTÍCULA SEMELHANTE A VÍRUS DE PROTEÍNA L1 DO HPV DO TIPO 16;PARTÍCULA SEMELHANTE A VÍRUS DE PROTEÍNA L1 DO HPV DO TIPO 18;PARTÍCULA SEMELHANTE A VÍRUS DE PROTEÍNA L1 DO HPV DO TIPO 6;PARTÍCULA SEMELHANTE A VÍRUS DE PROTEÍNA L1 DO HPV DO TIPO 11
832,PARTÍCULA SEMELHANTE A VÍRUS DE PROTEÍNA L1 DO HPV DO TIPO 58;PARTÍCULA SEMELHANTE A VÍRUS DE PROTEÍNA L1 DO HPV DO TIPO 16;PARTÍCULA SEMELHANTE A VÍRUS DE PROTEÍNA L1 DO HPV DO TIPO 18;PARTÍCULA SEMELHANTE A VÍRUS DE PROTEÍNA L1 DO HPV DO TIPO 6;PARTÍCULA SEMELHANTE A VÍRUS DE PROTEÍNA L1 DO HPV DO TIPO 31;PARTÍCULA SEMELHANTE A VÍRUS DE PROTEÍNA L1 DO HPV DO TIPO 52;PARTÍCULA SEMELHANTE A VÍRUS DE PROTEÍNA L1 DO HPV DO TIPO 33;PARTÍCULA SEMELHANTE A VÍRUS DE PROTEÍNA L1 DO HPV DO TIPO 11;PARTÍCULA SEMELHANTE A VÍRUS DE PROTEÍNA L1 DO HPV DO TIPO 45
833,VÍRUS DA CAXUMBA;VÍRUS DA RUBEOLA;VÍRUS DO SARAMPO;VIRUS DA VARICELA
834,ANTÍGENO HBS
835,REARRANJO DE ROTAVÍRUS HUMANO/BOVINO G4;REARRANJO DE ROTAVÍRUS HUMANO/BOVINO G3;REARRANJO DE ROTAVÍRUS HUMANO/BOVINO G2;REARRANJO DE ROTAVÍRUS HUMANO/BOVINO G1
836,VIRUS DA VARICELA
837,RALTEGRAVIR POTÁSSICO
838,LETERMOVIR
839,ERTAPENÉM SÓDICO
840,FOSAPREPITANTO DIMEGLUMINA
841,SULFATO DE CEFTOLOZANA;TAZOBACTAM SÓDICO
842,CLORETO DE BENZALCÔNIO
843,PERÓXIDO DE BENZOÍLA
844,MEPIVACAÍNA;CORBADRINA
845,EPINEFRINA;CLORIDRATO DE LIDOCAINA
846,EPINEFRINA;CLORIDRATO DE MEPIVACAÍNA
847,CLORIDRATO DE MEPIVACAÍNA;HEMITARTARATO DE NOREPINEFRINA
848,EPINEFRINA;CLORIDRATO DE ARTICAÍNA
849,BENZOCAÍNA
850,CLORIDRATO DE PRILOCAÍNA;FELIPRESSINA
851,CLORIDRATO DE MEPIVACAÍNA
852,HIDROXICARBAMIDA
853,LOMUSTINA
854,COLESTIRAMINA
855,TENIPOSÍDEO
856,ACETATO DE MEGESTROL
857,PARACETAMOL;MALEATO DE CARBINOXAMINA;CLORIDRATO DE FENILEFRINA
858,PARACETAMOL;CLORIDRATO DE FENILEFRINA
859,ENTECAVIR
860,ABATACEPTE
861,DASATINIBE
862,DASATINIBE MONOIDRATADO
863,SAXAGLIPTINA
864,IPILIMUMABE
865,DAPAGLIFLOZINA
866,EXENATIDA
867,DICLORIDRATO DE DACLATASVIR
868,CLORIDRATO DE METFORMINA;DAPAGLIFLOZINA
869,NIVOLUMABE
870,ELOTUZUMABE
871,LUSPATERCEPTE
872,SALBUTAMOL
873,HIDROCLOROTIAZIDA
874,DIPIRONA MONOIDRATADA
875,BENZNIDAZOL
876,CLORIDRATO DE METOCLOPRAMIDA
877,FUROSEMIDA
878,MONOFOSFATO DE RIBOFLAVINA
879,LACTULOSE
880,GLYCYRRHIZA GLABRA L.;ÁCIDO ASCÓRBICO;COLECALCIFEROL;MATRICARIA CHAMOMILLA L.
881,DICLORIDRATO DE HIDROXIZINA
882,CLORIDRATO DE HIDROXIZINA
883,CICLOPIROX OLAMINA
884,CICLOPIROX
885,TRETINOÍNA;FLUCLOROLONA ACETONIDA;HIDROQUINONA
886,TRETINOÍNA;FOSFATO DE CLINDAMICINA
887,PIPERACILINA;TAZOBACTAM
888,AZITROMICINA MONOIDRATADA
889,CLORIDRATO DE IRINOTECANO
890,PROPILTIOURACILA
891,POLISSACARÍDEO DE NEISSERIA MENINGITIDIS DO SOROGRUPO A CONJUGADO A PROTEÍNA CARREADORA TOXOIDE TETÂNICO
892,SULFATO DE COBRE PENTAHIDRATADO;CARBONATO DE CÁLCIO;ÓXIDO DE MAGNÉSIO;ÓXIDO DE ZINCO;COLECALCIFEROL;SULFATO DE MANGANÊS MONOIDRATADO
893,CARBONATO DE CÁLCIO 90%;SULFATO DE COBRE PENTAHIDRATADO;CARBONATO HIDRÓXIDO DE MAGNÉSIO;COLECALCIFEROL CRISTALIZADO;SULFATO DE MANGANÊS MONOIDRATADO;PERÓXIDO DE ZINCO
894,CARBONATO DE CÁLCIO;COLECALCIFEROL
895,ÓXIDO CÚPRICO;NICOTINAMIDA;NITRATO DE TIAMINA;ACETATO DE RACEALFATOCOFEROL;PANTOTENATO DE CÁLCIO;RIBOFLAVINA;CLORIDRATO DE PIRIDOXINA;SULFATO DE ZINCO MONOIDRATADO;ÁCIDO FÓLICO;ÁCIDO ASCÓRBICO;CIANOCOBALAMINA
896,NICERGOLINA
897,CLORIDRATO DE ZIPRASIDONA
898,MALEATO DE TIMOLOL;LATANOPROSTA
899,LATANOPROSTA
900,TARTARATO DE TOLTERODINA
901,CAFEÍNA ANIDRA;CITRATO DE ORFENADRINA;DIPIRONA
902,DIPIRONA MONOIDRATADA;CAFEÍNA ANIDRA;CITRATO DE ORFENADRINA
903,FUMARATO DE CLEMASTINA;DEXAMETASONA
904,FUMARATO DE CLEMASTINA;ACETATO DE DEXAMETASONA
905,MENTOL;SALICILATO DE METILA;CÂNFORA;ESSÊNCIA DE TEREBENTINA
906,CARBONATO DE CÁLCIO;HIDRÓXIDO DE ALUMÍNIO;HIDRÓXIDO DE MAGNÉSIO
907,CARBONATO DE CÁLCIO;HIDROXIDO DE MAGNESIO;HIDROXIDO DE ALUMÍNIO
908,CLORIDRATO DE NAFAZOLINA;DEXPANTENOL;MALEATO DE MEPIRAMINA
909,PANTOPRAZOL
910,CLIOQUINOL;PREDNISOLONA;SULFATO DE POLIMIXINA B;BENZOCAÍNA
911,BUTILBROMETO DE ESCOPOLAMINA;DIPIRONA
912,NICOTINAMIDA;NITRATO DE TIAMINA;RIBOFLAVINA;CLORIDRATO DE PIRIDOXINA;PANTOTENATO DE CALCIO;CIANOCOBALAMINA
913,METENAMINA;CLORETO DE METILTIONÍNIO;CLORIDRATO DE ACRIFLAVINA
914,CLORIDRATO DE CIPROEPTADINA;NICOTINAMIDA;CLORIDRATO DE TIAMINA;RIBOFLAVINA;CLORIDRATO DE PIRIDOXINA;ÁCIDO ASCÓRBICO
915,IODETO DE POTÁSSIO;NICOTINAMIDA;SULFATO DE MANGANÊS;PALMITATO DE RETINOL;PANAX GINSENG C. A. MEY.;SULFATO FERROSO;RIBOFLAVINA;CLORIDRATO DE PIRIDOXINA;ÁCIDO ASCÓRBICO;CIANOCOBALAMINA;FLUORETO DE SÓDIO;SULFATO DE POTÁSSIO;RUTOSÍDEO;D-PANTENOL;FOSFATO DE CÁLCIO DIBÁSICO;NITRATO DE TIAMINA;ACETATO DE RACEALFATOCOFEROL;SULFATO DE MAGNÉSIO;BIOTINA;COLECALCIFEROL
916,IODETO DE POTÁSSIO;NICOTINAMIDA;SULFATO DE MANGANÊS;PALMITATO DE RETINOL;SULFATO FERROSO;RIBOFLAVINA;CLORIDRATO DE PIRIDOXINA;ÁCIDO ASCÓRBICO;CIANOCOBALAMINA;FLUORETO DE SÓDIO;SULFATO DE POTÁSSIO;RUTOSÍDEO;PANTENOL;FOSFATO DE CÁLCIO DIBÁSICO;NITRATO DE TIAMINA;ACETATO DE RACEALFATOCOFEROL;SULFATO DE MAGNÉSIO;BIOTINA;COLECALCIFEROL
917,OMEPRAZOL
918,CLORETO DE AMÔNIO;CITRATO DE SÓDIO;CLORIDRATO DE DIFENIDRAMINA
919,AMPICILINA
920,CLOTRIMAZOL
921,CARBOCISTEÍNA
922,CLORIDRATO DE DOXICICLINA
923,PIROXICAM
924,BROMAZEPAM
925,CLARITROMICINA
926,LEVONORGESTREL;ETINILESTRADIOL
927,BENZOILMETRONIDAZOL
928,PENTOXIFILINA
929,LORAZEPAM
930,NISTATINA
931,MEBENDAZOL
932,BACITRACINA;SULFATO DE NEOMICINA
933,CLORIDRATO DE AZELASTINA
934,CEFACLOR MONOIDRATADO
935,SIMETICONA
936,METILDOPA
937,IVERMECTINA
938,CLORTALIDONA
939,CLORIDRATO DE VERAPAMIL
940,HIDROCLOROTIAZIDA;MALEATO DE ENALAPRIL
941,DIPROPIONATO DE BETAMETASONA;ÁCIDO ACETILSALICÍLICO
942,BEZAFIBRATO
943,GENFIBROZILA
944,GLIBENCLAMIDA
945,RIFAMICINA
946,FUMARATO DE CETOTIFENO
947,NITRATO DE ISOCONAZOL
948,DESONIDA
949,CLORIDRATO DE TICLOPIDINA
950,RESINATO DE DICLOFENACO
951,GUAIFENESINA;SULFATO DE PSEUDOEFEDRINA;MALEATO DE DEXCLORFENIRAMINA
952,LANSOPRAZOL
953,MALEATO DE DEXCLORFENIRAMINA
954,DIPROPIONATO DE BETAMETASONA
955,DEFLAZACORTE
956,CLORIDRATO DE DILTIAZEM
957,NITRATO DE MICONAZOL
958,ADAPALENO
959,MESSALAZINA
960,DIPIRONA
961,CLORIDRATO DE CLINDAMICINA MONOIDRATADO
962,HIDROCORTISONA
963,TINIDAZOL
964,CLORIDRATO DE BROMEXINA
965,ACETATO DE DEXAMETASONA
966,ÁCIDO MEFENÂMICO
967,CLORIDRATO DE FEXOFENADINA;CLORIDRATO DE PSEUDOEFEDRINA
968,PARACETAMOL;CLORIDRATO DE PSEUDOEFEDRINA
969,LIDOCAÍNA
970,ÁCIDO ASCÓRBICO;CITRATO DE ZINCO
971,BROMETO DE IPRATRÓPIO
972,FLUOCINOLONA ACETONIDA;TRETINOÍNA;HIDROQUINONA
973,TERCONAZOL
974,FENOFIBRATO
975,MALEATO ÁCIDO DE TIMOLOL;CLORIDRATO DE DORZOLAMIDA
976,MALEATO ÁCIDO DE TIMOLOL;LATANOPROSTA
977,SULFATO DE GLICOSAMINA
978,CLORIDRATO DE SEVELÂMER
979,ÁCIDO TRANEXÂMICO
980,PLANTAGO OVATA PHIL.
981,DEXPANTENOL
982,REPAGLINIDA
983,RILUZOL
984,ORLIPASTAT
985,EXTRATO FLUIDO DE CASCA DE LARANJA AMARGA;SALICILATO DE SÓDIO;TINTURA AGONIADA PLUMÉRIA;EXTRATO FLUIDO DE PASSIFLORA ALATA
986,MENTOL;SALICILATO DE METILA
987,BROMETO DE PINAVÉRIO
988,TELMISARTANA
989,ESOMEPRAZOL MAGNÉSICO TRI-HIDRATADO
990,IODO;SALICILATO DE METILA
991,LEFLUNOMIDA
992,CLORIDRATO DE ZIPRASIDONA MONOIDRATADO
993,ESOMEPRAZOL;AMOXICILINA TRI-HIDRATADA;CLARITROMICINA
994,AMOXICILINA TRIHIDRATADA;ESOMEPRAZOL MAGNÉSICO TRI-HIDRATADO;CLARITROMICINA
995,BEMIPARINA SÓDICA
996,ESTRADIOL;ACETATO DE NORETISTERONA
997,TERPINA MONOIDRATADA;MENTOL;EUCALIPTOL
998,CLONIXINATO DE LISINA;CLORIDRATO DE CICLOBENZAPRINA
999,CLORIDRATO DE CICLOBENZAPRINA;LISINATO DE CLONIXINA
1000,LOSARTANA POTÁSSICA;BESILATO DE ANLODIPINO
1001,CLORIDRATO DE LERCANIDIPINO
1002,HIDROQUINONA
1003,BESILATO DE ANLODIPINO;OLMESARTANA MEDOXOMILA
1004,TROMETAMOL CETOROLACO
1005,LIMECICLINA
1006,RANELATO DE ESTRÔNCIO
1007,LISINATO DE CLONIXINA
1008,HIDROCLOROTIAZIDA;TELMISARTANA
1009,INSULINA ISOFANA
1010,TICAGRELOR
1011,LORATADINA;SULFATO DE PSEUDOEFEDRINA
1012,INSULINA HUMANA
1013,SUCCINATO DE SOLIFENACINA
1014,GLICLAZIDA
1015,PANTOPRAZOL SÓDICO SESQUI-HIDRATADO;NIMESULIDA
1016,BESILATO DE LEVANLODIPINO
1017,DICLORIDRATO DE TRIMETAZIDINA
1018,ATENOLOL;BESILATO DE ANLODIPINO
1019,AGOMELATINA
1020,HEMIFUMARATO DE ALISQUIRENO
1021,NISTATINA;ÓXIDO DE ZINCO
1022,CLORIDRATO DE AMOROLFINA
1023,VALERATO DE ESTRADIOL MICRONIZADO
1024,CLORIDRATO DE RALOXIFENO
1025,DIVALPROATO DE SÓDIO
1026,PARACETAMOL;CAFEÍNA
1027,DICLOFENACO
1028,CEFACLOR
1029,NITRATO DE BUTOCONAZOL
1030,CLORIDRATO DE ANAGRELIDA
1031,CLORIDRATO DE NEBIVOLOL
1032,MESILATO DE DI-HIDROERGOTAMINA;DIPIRONA MONOIDRATADA;CAFEÍNA
1033,NICOTINAMIDA;NITRATO DE TIAMINA;RIBOFLAVINA;CLORIDRATO DE PIRIDOXINA;PANTOTENATO DE CALCIO
1034,NICOTINAMIDA;CLORIDRATO DE TIAMINA;PANTOTENATO DE CÁLCIO;CLORIDRATO DE PIRIDOXINA;CIANOCOBALAMINA;FOSFATO SÓDICO DE RIBOFLAVINA
1035,NISTATINA;OXIDO DE ZINCO
1036,ESOMEPRAZOL MAGNÉSICO DI-HIDRATADO;AMOXICILINA TRI-HIDRATADA;CLARITROMICINA
1037,ESOMEPRAZOL MAGNÉSICO TRI-HIDRATADO;AMOXICILINA TRI-HIDRATADA;CLARITROMICINA
1038,CEFALEXINA
1039,SIMETICONA;METILBROMETO DE HOMATROPINA
1040,CLORIDRATO DE METFORMINA;GLIMEPIRIDA
1041,APIXABANA
1042,PANITUMUMABE
1043,ROMIPLOSTIM
1044,ALFADARBEPOETINA
1045,PEGFILGRASTIM
1046,EVOLOCUMABE
1047,CARFILZOMIBE
1048,BLINATUMOMABE
1049,DENOSUMABE
1050,APREMILASTE
1051,ROMOSOZUMABE
1052,INFLIXIMABE
1053,SOTORASIBE
1054,POLYGONUM PUNCTATUM H.LÉV;COMPLEMENTO;CÁSSIA SENNA;PICOSSULFATO DE SÓDIO
1055,SULFATO DE BÁRIO
1056,FENITOÍNA SÓDICA
1057,FENOBARBITAL
1058,FENOBARBITAL SÓDICO
1059,CLORANFENICOL;FIBRINOLISINA;DESOXIRRIBONUCLEASE
1060,NICOTINAMIDA;ACETATO DE RACEALFATOCOFEROL;PALMITATO DE RETINOL;RIBOFLAVINA;DEXPANTENOL;CLORIDRATO DE PIRIDOXINA;ÁCIDO ASCÓRBICO;COLECALCIFEROL
1061,NICOTINAMIDA;ACETATO DE RACEALFATOCOFEROL;PALMITATO DE RETINOL;DEXPANTENOL;MONOFOSFATO DE RIBOFLAVINA SÓDICA;CLORIDRATO DE PIRIDOXINA;ÁCIDO ASCÓRBICO;COLECALCIFEROL
1062,CLORIDRATO DE IMIPRAMINA
1063,CLORANFENICOL;COLAGENASE
1064,MALEATO DE LEVOMEPROMAZINA
1065,LIDOCAÍNA;PRILOCAÍNA
1066,CLORIDRATO DE PETIDINA
1067,FOSFATO DE SÓDIO DIBÁSICO HEPTAIDRATADO;FOSFATO DE SÓDIO MONOBÁSICO MONOIDRATADO
1068,DIAZÓXIDO
1069,CLORIDRATO DE PROMETAZINA
1070,COLAGENASE
1071,CLORIDRATO DE BUPIVACAÍNA
1072,MONONITRATO DE TIAMINA;NICOTINAMIDA;RIBOFLAVINA;CLORIDRATO DE PIRIDOXINA;PANTOTENATO DE CALCIO
1073,CLORIDRATO DE LIDOCAINA;HEMITARTARATO DE EPINEFRINA
1074,CLORIDRATO DE BUPIVACAÍNA;GLICOSE
1075,DROPERIDOL
1076,AZATIOPRINA
1077,TIOPENTAL SÓDICO
1078,LACTATO DE BIPERIDENO
1079,CLORIDRATO DE BIPERIDENO
1080,SULFATO DE MORFINA
1081,SULFATO DE MORFINA PENTAIDRATADO
1082,ENANTATO DE FLUFENAZINA
1083,HEMITARTARATO DE METARAMINOL
1084,CARBIDOPA (PORT. 344/98 LISTA C 1);LEVODOPA
1085,DIFOSFATO DE CLOROQUINA
1086,CLORIDRATO DE ALFENTANILA MONOIDRATADA
1087,NITROGLICERINA
1088,CLORIDRATO DE METADONA
1089,MALEATO DE MIDAZOLAM
1090,ENFLURANO
1091,HEMITARTARATO DE EPINEFRINA;CLORIDRATO DE LEVOBUPIVACAÍNA
1092,CLORIDRATO DE NALTREXONA
1093,CLORIDRATO DE DIFENIDRAMINA
1094,SULFATO DE EFEDRINA
1095,FOSFATO DE CODEÍNA
1096,DANTROLENO SÓDICO HEMIEPTAIDRATADO
1097,DANTROLENO SÓDICO
1098,ALANTOÍNA;ACETATO DE RACEALFATOCOFEROL;PALMITATO DE RETINOL;COLECALCIFEROL
1099,CLORIDRATO DE ESCETAMINA
1100,CITRATO DE SUFENTANILA
1101,NITROPRUSSETO DE SÓDIO
1102,NITROPRUSSETO DE SÓDIO DI-HIDRATADO
1103,HALOTANO
1104,DICLORIDRATO DE FLUFENAZINA
1105,CLORIDRATO DE CLORPROMAZINA
1106,CLORIDRATO DE ESMOLOL
1107,ANFOTERICINA B
1108,GLICONATO DE CLOREXIDINA
1109,DECANOATO DE HALOPERIDOL
1110,NITRAZEPAM
1111,ETOMIDATO
1112,CLORIDRATO DE NALOXONA
1113,CLORIDRATO DE NALBUFINA
1114,CITRATO DE FENTANILA;DROPERIDOL
1115,LEVOFLOXACINO
1116,BROMETO DE VECURÔNIO
1117,CLORIDRATO DE LEVOBUPIVACAÍNA
1118,HEPARINA SÓDICA SUÍNA
1119,CLORIDRATO DE BUPIVACAÍNA;HEMITARTARATO DE EPINEFRINA
1120,CARBONATO DE LODENAFILA
1121,CLOZAPINA
1122,CLORIDRATO DE LIDOCAINA;HEMITARTARATO DE NOREPINEFRINA
1123,CLORIDRATO DE LIDOCAINA;GLICOSE
1124,BESILATO DE CISATRACÚRIO
1125,FENITOÍNA
1126,CLORIDRATO DE OXIBUPROCAÍNA
1127,SULFATO DE ZINCO;NITRATO DE NAFAZOLINA
1128,CLORANFENICOL;ACETATO DE RETINOL;AMINOÁCIDOS;METIONINA (11 C)
1129,PEMETREXEDE DISSÓDICO HEMIPENTAIDRATADO
1130,HIDROXIPROPIL GUAR;MACROGOL;PROPILENOGLICOL
1131,CLORIDRATO DE OXIBUTININA
1132,LAMIVUDINA;FUMARATO DE TENOFOVIR DESOPROXILA
1133,HIALURONATO DE SÓDIO
1134,GLICOSE ANIDRA;CLORETO DE SÓDIO
1135,DOCETAXEL
1136,SULFADIAZINA DE PRATA
1137,SULFADIAZINA DE PRATA;NITRATO DE CERIO
1138,HIDROXIUREIA
1139,EXTRATO DE GENTIANA LUTEA;EXTRATO DA FOLHA DE ALOE FEROX
1140,GLICERINA BIDESTILADA
1141,CLORETO DE CÁLCIO;LACTATO DE SÓDIO;CLORETO DE POTÁSSIO;CLORETO DE SÓDIO
1142,CLORETO DE CÁLCIO
1143,ACETATO DE SÓDIO TRIIDRATADO;CLORETO DE CÁLCIO DIIDRATADO;CITRATO DE SÓDIO DI-HIDRATADO;CLORETO DE MAGNÉSIO HEXAIDRATADO;CLORETO DE POTÁSSIO;CLORETO DE SÓDIO
1144,ACETATO DE SÓDIO TRIIDRATADO;CLORETO DE CÁLCIO DIIDRATADO;HIDROXIETILAMIDO;CLORETO DE MAGNÉSIO HEXAIDRATADO;CLORETO DE POTÁSSIO;CLORETO DE SÓDIO
1145,CLORATO DE SÓDIO
1146,ÁGUA PARA INJEÇÃO Q.S.P.
1147,CLORETO DE POTÁSSIO
1148,CLORIDRATO DE METOCLOPRAMIDA MONOIDRATADO
1149,FOSFATO DE POTÁSSIO DIBÁSICO;FOSFATO DE POTÁSSIO MONOBÁSICO
1150,GANGLIOSÍDEO GM1
1151,DIACEREÍNA
1152,ÁCIDO HIALURÔNICO
1153,CLORIDRATO DE PROCAÍNA;TIMOL;MENTOL;CÂNFORA
1154,BROMIDRATO DE FENOTEROL
1155,DIPIRONA MONOIDRATADA;BUTILBROMETO DE ESCOPOLAMINA
1156,BUTILBROMETO DE ESCOPOLAMINA
1157,BROMETO DE IPRATRÓPIO;BROMIDRATO DE FENOTEROL
1158,BROMETO DE TIOTRÓPIO
1159,DABIGATRANA
1160,BESILATO DE ANLODIPINO;TELMISARTANA
1161,LINAGLIPTINA;CLORIDRATO DE METFORMINA
1162,CLORIDRATO DE OLODATEROL
1163,EMPAGLIFLOZINA
1164,ESILATO DE NINTEDANIBE
1165,DIMALEATO DE AFATINIBE
1166,IDARUCIZUMABE
1167,LINAGLIPTINA;EMPAGLIFLOZINA
1168,BROMETO DE TIOTRÓPIO MONOIDRATADO;CLORIDRATO DE OLODATEROL
1169,CLORIDRATO DE METFORMINA;EMPAGLIFLOZINA
1170,METRONIDAZOL BENZOIL;NISTATINA
1171,CLORIDRATO DE TETRACICLINA
1172,BROMETO DE N-BUTILESCOPOLAMINA;DIPIRONA
1173,DICLOFENACO DE POTÁSSIO
1174,PENICILINA G BENZATINA
1175,FOSFATO DISSÓDICO DE DEXAMETASONA;SULFATO DE NEOMICINA
1176,DEXCLORFENIRAMINA;MALEATO DE DEXCLORFENIRAMINA
1177,SULFATO DE GENTAMICINA;TOLNAFTATO;VALERATO DE BETAMETASONA
1178,BETAMETASONA;CETOCONAZOL
1179,CLORIDRATO DE TIAMINA
1180,CIMETIDINA
1181,PROMETAZINA
1182,MALEATO DE CLORFENIRAMINA;CAFEÍNA ANIDRA;DIPIRONA
1183,LANSOPRAZOL;AMOXICILINA TRI-HIDRATADA;CLARITROMICINA
1184,NITROFURANTOÍNA
1185,AMINOFILINA
1186,NAPROXENO
1187,DIGOXINA
1188,VALPROATO DE SÓDIO
1189,CLORIDRATO DE CLINDAMICINA
1190,ÁCIDO SALICÍLICO;DIPROPIONATO DE BETAMETASONA
1191,VARFARINA SÓDICA
1192,ÓXIDO DE MAGNÉSIO;SULFATO DE MANGANÊS;ACETATO DE RETINOL;PANTOTENATO DE CÁLCIO;RIBOFLAVINA;CLORIDRATO DE PIRIDOXINA;ÁCIDO ASCÓRBICO;CIANOCOBALAMINA;TIAMINA;FUMARATO FERROSO;ÓXIDO DE ZINCO;BIOTINA;COLECALCIFEROL
1193,SULFATO DE NEOMICINA;BACITRACINA ZÍNCICA
1194,ACETATO DE HIDROCORTISONA
1195,SULFATO DE TRIMETOPRIMA;SULFAMETOXAZOL
1196,CEFALEXINA MONOIDRATADA;CEFALEXINA
1197,NISTATINA;METRONIDAZOL
1198,CEFTRIAXONA
1199,CEFALOTINA SÓDICA TAMPONADA
1200,SULFAMETOXAZOL
1201,MALEATO DE BRONFENIRAMINA;CLORIDRATO DE FENILEFRINA
1202,CLORETO DE BENZALCÔNIO;BENZOILMETRONIDAZOL;NISTATINA
1203,FLUOCINOLONA ACETONIDA;SULFATO DE NEOMICINA
1204,ÁCIDO FÓLICO;CIANOCOBALAMINA
1205,ÁCIDO SALICÍLICO
1206,EXTRATO SECO DE VALERIANA OFFICINALIS L.
1207,NICOTINAMIDA;CLORIDRATO DE TIAMINA;DEXPANTENOL;MONOFOSFATO DE RIBOFLAVINA SÓDICA;CLORIDRATO DE PIRIDOXINA
1208,CLORIDRATO DE PAPAVERINA
1209,EPINEFRINA
1210,CLORETO DE BENZALCÔNIO;LISOZIMA;NISTATINA;METRONIDAZOL
1211,ALENDRONATO SÓDICO TRIHIDRATADO
1212,CLONIXINATO DE LISINA
1213,CLORIDRATO DE CIPROFLOXACINO ;HIDROCORTISONA
1214,PIRIMETAMINA
1215,SULFATO DE NEOMICINA;SULFATO DE POLIMIXINA B;HIDROCORTISONA
1216,CLORIDRATO DE PSEUDOEFEDRINA;CLORIDRATO DE TRIPROLIDINA
1217,CLORETO DE DEQUALÍNIO;BENZOCAÍNA
1218,CLORIDRATO DE TETRACAÍNA;CLORFENESINA;VALERATO DE BETAMETASONA
1219,TINIDAZOL;TIOCONAZOL;SECNIDAZOL
1220,PELARGONIUM SIDOIDES DC.
1221,CARBONATO DE CÁLCIO;ALENDRONATO DE SÓDIO TRI-HIDRATADO;COLECALCIFEROL
1222,IMIQUIMODE
1223,TRIFOLIUM PRATENSE L.
1224,PINUS PINASTER AITON
1225,PROPATILNITRATO
1226,POLYPODIUM LEUCOTOMOS
1227,ZINGIBER OFFICINALE ROSCOE
1228,LIDOCAÍNA;SULFATO DE POLIMIXINA B
1229,POLISSULFATO DE MUCOPOLISSACARÍDEO
1230,OLEATO DE MONOETANOLAMINA
1231,GLICEROFOSFATO DE CÁLCIO;ERGOCALCIFEROL;FOSFATO DE CÁLCIO TRIBÁSICO;CIANOCOBALAMINA;FLUORETO DE SÓDIO
1232,CLORIDRATO DE DAPOXETINA
1233,DICLORIDRATO DE FLUNARIZINA
1234,ANFOTERICINA B;TETRACICLINA
1235,MONOFOSFATO DE RIBOFLAVINA SÓDICA
1236,DIMENIDRINATO
1237,ÓXIDO DE ZINCO
1238,FENILBUTAZONA CÁLCICA
1239,CITRATO DE PENTOXIVERINA;PARACETAMOL;MALEATO DE CARBINOXAMINA;CLORIDRATO DE FENILEFRINA
1240,PASSIFLORA INCARNATA L.
1241,CLORIDRATO DE LIDOCAINA;CLORIDRATO DE FENILEFRINA
1242,NIFEDIPINO
1243,MALEATO DE DEXBRONFENIRAMINA;SULFATO DE PSEUDOEFEDRINA
1244,PERÓXIDO DE URÉIA
1245,TIABENDAZOL
1246,CAFEÍNA ANIDRA;MUCATO DE ISOMETEPTENO;DIPIRONA
